"","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"1",19.9624996185303,22.1833343505859,17.6833343505859,1452,343,28,75.0835266113281,603,140,165,538,7.70833301544189,59.2948760986328,185.694320678711,26.2999992370605,13.3000001907349,12.9999990463257,18.5,21.9333343505859
"2",16.6916675567627,18.6499996185303,14.6833333969116,2448,292,117,27.2314147949219,742,470,488,661,6.65000009536743,56.8376121520996,166.075469970703,22.2999992370605,10.6000003814697,11.6999988555908,15.5,18.6333332061768
"3",23.0833339691162,24.783332824707,21.3166675567627,1895,312,23,68.3538589477539,773,123,130,753,6.28333330154419,59.276725769043,144.243057250977,28.1000003814697,17.5,10.6000003814697,23.3166656494141,23.7000007629395
"4",23.875,25.6333332061768,22.0166664123535,727,114,27,41.2221260070801,276,109,109,243,6.73333358764648,60.1190452575684,149.825668334961,29.2000007629395,18,11.2000007629395,22.1833343505859,25.6333332061768
"5",23.7333335876465,25.75,21.7000007629395,859,125,38,35.2060394287109,315,159,159,260,8.48333358764648,63.7844657897949,167.445159912109,30.3999996185303,17.1000003814697,13.2999992370605,22.4333343505859,25.75
"6",22.7875003814697,24.6666660308838,20.8999996185303,1514,258,31,56.83349609375,658,149,157,485,8.57499980926514,64.9621276855469,155.375274658203,29.2999992370605,16.1000003814697,13.1999988555908,21.716667175293,23.6499996185303
"7",25.0375003814697,26.9500007629395,23.0166664123535,1712,319,70,48.6663093566895,688,279,688,324,8.49166679382324,65.3205108642578,162.272567749023,31.2999992370605,18.2999992370605,13,26.9500007629395,23.0666656494141
"8",24.625,26.3999996185303,22.7333335876465,1088,200,34,57.127010345459,415,142,142,415,8.08333301544189,64.6666641235352,152.158721923828,30.6000003814697,18.1000003814697,12.5,22.7333335876465,26.3999996185303
"9",23.8791675567627,25.6166667938232,22.1333332061768,1754,254,40,57.9385604858398,747,170,193,646,6.84166717529297,61.0863189697266,145.640563964844,29.2999992370605,18.1000003814697,11.1999988555908,22.8833332061768,24.5499992370605
"10",24.6666660308838,26.3666667938232,22.8166675567627,1022,159,46,35.1621055603027,308,201,294,292,8.86666679382324,67.6844787597656,145.965942382812,31,17.8999996185303,13.1000003814697,23.7666664123535,23.1833343505859
"11",23.0083332061768,24.7333335876465,21.2000007629395,1506,227,50,43.8879203796387,508,264,330,508,8.39999961853027,66.1417388916016,146.362457275391,29.2999992370605,16.6000003814697,12.6999988555908,21.2000007629395,22.966667175293
"12",24.5208339691162,26.2999992370605,22.6333332061768,676,100,10,55.6617889404297,246,35,35,246,8.82499980926514,66.8560562133789,151.993698120117,31,17.7999992370605,13.2000007629395,22.6333332061768,26.2999992370605
"13",22.5249996185303,24.033332824707,20.9500007629395,1020,235,10,76.4312286376953,493,48,107,493,7.51666688919067,65.935676574707,129.658645629883,28.1000003814697,16.7000007629395,11.3999996185303,20.9500007629395,24.033332824707
"14",23.0125007629395,24.4166660308838,21.6000003814697,1825,290,44,56.0267486572266,708,182,260,708,6.89166688919067,66.2660293579102,115.051879882812,28,17.6000003814697,10.3999996185303,21.6000003814697,24.0166664123535
"15",23.9249992370605,25.3166656494141,22.4833335876465,1207,180,51,37.5169639587402,412,237,305,237,8.61666679382324,72.4089660644531,117.308837890625,29.6000003814697,17.7000007629395,11.8999996185303,25.283332824707,22.4833335876465
"16",17.3541660308838,18.8666667938232,15.8333330154419,1914,246,79,32.4090995788574,618,348,427,490,9.47500038146973,71.2406005859375,126.301559448242,23.7000007629395,10.3999996185303,13.3000011444092,16.1166667938232,18.8333339691162
"17",20.0041656494141,21.5833320617676,18.3666667938232,842,138,21,52.3050079345703,350,78,134,276,9.79166603088379,70.4436416625977,132.484283447266,26.7999992370605,12.8999996185303,13.8999996185303,19.216667175293,21.1666660308838
"18",18.3708324432373,19.783332824707,16.966667175293,1767,258,80,39.3015060424805,641,284,335,552,8.52499961853027,68.75,115.157173156738,24.2999992370605,11.8999996185303,12.3999996185303,17.1666660308838,19.4333324432373
"19",16.6499996185303,18.216667175293,15.1333332061768,1640,261,16,61.9255142211914,640,88,88,596,9.30000019073486,70.4545440673828,129.982528686523,23.1000003814697,9.89999961853027,13.2000007629395,15.3166666030884,18.216667175293
"20",18.408332824707,28.2666664123535,8.15000057220459,886,126,47,31.5910263061523,302,153,201,153,12.3166666030884,35.5973014831543,814.627136230469,35.2999992370605,0.699999988079071,34.5999984741211,22.5166664123535,8.15000057220459
"21",20.4500007629395,27.8166675567627,12.3166666030884,1266,159,69,26.5534744262695,389,218,379,262,9.85000038146973,36.8913879394531,631.398132324219,32.7999992370605,6.09999990463257,26.6999988555908,26.466667175293,16.6000003814697
"22",16.3791675567627,26.7333335876465,5.43333339691162,1259,130,78,18.837474822998,373,257,266,288,12.875,35.7638893127441,860.191467285156,34.0999984741211,-1.89999997615814,36,16.4500007629395,26
"23",10.1083335876465,22.9500007629395,-4.09999990463257,912,108,27,38.4340591430664,318,107,318,107,11.3166666030884,27.4676380157471,1089.01293945312,30.2000007629395,-11,41.2000007629395,22.9500007629395,-4.09999990463257
"24",9.23750019073486,21.216667175293,-3.66666650772095,897,97,42,24.2646198272705,285,154,275,155,11.2916669845581,29.4053821563721,1006.41607666016,28.5,-9.89999961853027,38.4000015258789,19.216667175293,-2.26666665077209
"25",10.2749996185303,21.783332824707,-2.20000004768372,949,102,53,21.3938980102539,300,179,283,179,11.3833332061768,30.5183200836182,969.607482910156,28.8999996185303,-8.39999961853027,37.2999992370605,19.8666667938232,-2.20000004768372
"26",12.5333337783813,22.9833335876465,1.5,1170,120,71,15.4786396026611,342,254,321,262,12.3833332061768,34.9811668395996,868.421569824219,30.2000007629395,-5.19999980926514,35.4000015258789,20.8666667938232,13.6333332061768
"27",11.0333337783813,22.2000007629395,-0.933333277702332,1015,114,61,19.7380542755127,311,198,288,198,11.4833335876465,31.6345272064209,933.805358886719,29.2000007629395,-7.09999990463257,36.2999992370605,20.2000007629395,-0.933333277702332
"28",11.4375,22.2999992370605,-0.216666653752327,1106,119,71,17.3786334991455,327,225,308,225,11.7250003814697,32.6601676940918,910.279968261719,29.2999992370605,-6.59999990463257,35.8999977111816,11,-0.216666653752327
"29",8.39166641235352,20.216667175293,-4.20000028610229,794,87,39,23.1941452026367,241,139,241,139,10.6833333969116,28.7186374664307,987.360656738281,27.3999996185303,-9.80000019073486,37.2000007629395,20.216667175293,-4.20000028610229
"30",11.7041664123535,23.1499996185303,-0.449999928474426,957,106,53,22.2605094909668,309,182,299,182,11.6750001907349,31.4690036773682,954.292846679688,30.3999996185303,-6.69999980926514,37.0999984741211,21.0833339691162,-0.449999928474426
"31",10.2875003814697,21.3166656494141,-0.866666674613953,895,92,50,18.526538848877,267,171,267,175,8.95833301544189,26.1939563751221,919.471496582031,27.7999992370605,-6.40000009536743,34.2000007629395,21.3166656494141,-0.73333340883255
"32",9.44999980926514,20.6499996185303,-2.46666669845581,975,96,56,16.8636360168457,284,192,282,193,10.3166666030884,28.8982257843018,937.605773925781,27.5,-8.19999980926514,35.7000007629395,18.5166664123535,-1.35000002384186
"33",9.67500019073486,20.966667175293,-2.31666660308838,984,99,56,17.0154666900635,288,195,284,195,10.8166666030884,29.7979793548584,941.663208007812,28,-8.30000019073486,36.2999992370605,18.8666667938232,-1.09999990463257
"34",15.0916662216187,24.4333324432373,5.5,1207,123,79,11.6284971237183,331,272,322,306,12.6833333969116,38.4343414306641,764.302490234375,31.5,-1.5,33,7.03333330154419,10.4499998092651
"35",11.1750001907349,20.6666660308838,1.33333337306976,1055,108,69,13.1107931137085,303,219,282,219,12.9499998092651,38.8888893127441,782.665893554688,28.1000003814697,-5.19999980926514,33.2999992370605,18.7666664123535,1.33333337306976
"36",15.7791662216187,25.1666660308838,6.03333330154419,1185,118,77,11.7466812133789,321,272,319,291,12.4583330154419,37.8672752380371,773.056091308594,32,-0.899999976158142,32.9000015258789,7.56666660308838,11.1166667938232
